request_idx,time,position_x,position_y,compute_demand,max_latency,action,reward,latency,success,used_cloud
0,0.09385361799537183,42.79519740568645,50.602771193276624,18.158425631014783,20,DCN_6,1.049880449550345,4.750597752248274,True,False
1,0.10546665852378635,62.31719688531316,24.634504504903358,20.0,25,DCN_6,1.1525696232827172,4.237151883586415,True,False
2,0.1355135642692541,69.64544072992094,23.505623002470678,20.0,25,DCN_6,1.0551421004484247,4.724289497757876,True,False
3,0.5286510204240215,59.51184265127047,29.102741060279865,20.0,25,DCN_6,0.7912490217543175,6.043754891228412,True,False
4,0.7169710144454242,17.87707975054901,85.55818574794418,17.547507720514684,35,DCN_6,1.0621880846614704,4.689059576692648,True,False
5,0.8637931936272699,49.53533612333944,54.2970797419181,20.0,30,DCN_6,1.1964940890092768,4.017529554953616,True,False
6,0.8823242854178931,19.59828624191452,4.522728891053807,8.346651043346577,30,DCN_6,0.9245136744969127,5.377431627515437,True,False
7,1.0590653580195226,14.833147295832006,0.0,20.0,15,DCN_6,1.0588466806833414,4.705766596583293,True,False
8,1.1033732461206998,52.77414850670202,96.74742734783938,17.68925116484314,20,DCN_6,1.2054573844611387,3.9727130776943063,True,False
9,1.5962991920445366,51.54541006956682,92.89908847950883,12.85001618652154,35,DCN_6,0.4682916329711295,2.6585418351443524,True,True
10,2.0327495745248396,56.41022773834576,96.87706579898854,9.892521882670145,30,DCN_14,0.6508406960477731,6.745796519761134,True,False
11,2.2807821343235837,57.16267312889873,96.30995954225656,15.382842529025758,30,DCN_14,1.2068128939602978,3.965935530198511,True,False
12,2.3381298989202435,53.12020511443279,93.80117432433389,20.0,25,DCN_14,0.7282636369868376,6.358681815065812,True,False
13,2.460087735237876,22.82554595070476,36.35330262846368,16.838935603880245,20,DCN_14,1.0863186926280033,4.568406536859983,True,False
14,2.5366338785215397,23.152730069932947,61.03206150191697,16.33254124679059,40,DCN_14,0.9882340477286511,5.058829761356744,True,False
15,2.572616175945127,20.97713608499032,100.0,7.279038323785359,40,DCN_6,0.17705787574926113,4.114710621253694,True,True
16,2.650692936521422,45.83505130686473,52.08648957284065,14.91652137969762,30,ACN_0,1.1750609847796571,4.124695076101713,True,False
17,2.682747094085426,45.51316105285989,53.811001248064294,20.0,20,ACN_0,0.6942087198200777,6.528956400899611,True,False
18,2.71405326628252,48.9452760277563,98.56504541106007,20.0,40,ACN_0,1.0298854868601524,4.850572565699238,True,False
19,2.7695098494764143,48.718262751322115,99.64972904187178,20.0,30,ACN_0,0.948898286405242,5.25550856797379,True,False
20,2.8107962707979257,40.96494559599145,99.99254391590192,11.609008097146196,40,DCN_6,0.5062952992212985,2.4685235038935076,True,True
21,3.362865034358787,39.18122046715048,100.0,16.023569705718582,30,ACN_0,1.2874019892249193,3.562990053875404,True,False
22,3.4182404434463676,9.310276780589922,89.72157579533267,20.0,30,ACN_0,1.25802269454589,3.7098865272705495,True,False
23,3.6592737000091766,13.913610359155278,88.58796351758586,19.28099667974235,25,ACN_0,1.0308014101589795,4.845992949205102,True,False
24,4.222401146924218,14.666905576571683,88.50938881832363,20.0,25,ACN_0,1.0087259008444476,4.956370495777762,True,False
25,4.477666785939967,26.03363136665909,89.24426207060971,16.42150908218542,40,ACN_0,1.348698529409992,3.25650735295004,True,False
26,4.922877828189671,39.7057421619678,89.71308922136944,17.815503064942526,40,ACN_0,1.1540341610875529,4.229829194562235,True,False
27,5.092606207126647,42.740620709810926,87.96858330750568,20.0,25,ACN_0,1.3536337480071614,3.231831259964192,True,False
