Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
GNN,high_latency_tolerance,0.8312515568840967,77.60104139085863,69.68225611970776,28101
GNN,low_latency,0.764183399011697,39.93703579475184,18.86260506667108,47961
GNN,ultra_low_latency,0.6605179511229222,10.844229640586578,8.153177176688112,19191
GNN+LSTM(10),high_latency_tolerance,0.8327105796946728,77.60572308435938,69.75236735264133,28101
GNN+LSTM(10),low_latency,0.7662684264298075,39.87630775614373,19.074517975440102,47961
GNN+LSTM(10),ultra_low_latency,0.6701578865093012,10.686202848490163,8.163102598355925,19191
GNN+LSTM(20),high_latency_tolerance,0.8329952670723462,77.49220989563209,69.65578577071686,28101
GNN+LSTM(20),low_latency,0.7627030295448385,40.130613275907926,18.962828157947275,47961
GNN+LSTM(20),ultra_low_latency,0.6962117659319472,10.311890961438849,8.08059575566382,19191
GNN+LSTM(3),high_latency_tolerance,0.8323191345503719,77.71764891611808,69.87878837148645,28101
GNN+LSTM(3),low_latency,0.7663935280748941,39.823718334520514,18.996091670532063,47961
GNN+LSTM(3),ultra_low_latency,0.625709968214267,11.197424766530418,8.326305873233748,19191
GNN+LSTM(30),high_latency_tolerance,0.8316785879506068,77.52809599963217,69.61191912575542,28101
GNN+LSTM(30),low_latency,0.7650382602531224,39.956582337270284,18.986113955962754,47961
GNN+LSTM(30),ultra_low_latency,0.7199207962065551,10.114714839663057,8.108147842599191,19191
GNN+Trans(10),high_latency_tolerance,0.8318209316394435,77.44246853741602,69.52604722269797,28101
GNN+Trans(10),low_latency,0.7623277246095786,40.068111081638634,18.793958914443994,47961
GNN+Trans(10),ultra_low_latency,0.7136678651451202,10.121459794161744,8.145946247096367,19191
GNN+Trans(20),high_latency_tolerance,0.833351126294438,77.40006424068946,69.56084241970075,28101
GNN+Trans(20),low_latency,0.7634744896895395,40.01740489148324,18.836148173470782,47961
GNN+Trans(20),ultra_low_latency,0.7723412016049189,9.496598131647618,8.14829080135982,19191
GNN+Trans(3),high_latency_tolerance,0.8330664389167646,77.39592448139678,69.53329603857289,28101
GNN+Trans(3),low_latency,0.7633076874960906,40.04630248544052,18.904898557524824,47961
GNN+Trans(3),ultra_low_latency,0.7415976238861967,9.852995441016386,8.123469795754326,19191
GNN+Trans(30),high_latency_tolerance,0.8332443685278104,77.49271373452937,69.67225997081982,28101
GNN+Trans(30),low_latency,0.764767206688768,39.9662244155508,18.962439614291803,47961
GNN+Trans(30),ultra_low_latency,0.5726121619509145,11.847508388208047,8.357413270812893,19191
Greedy,high_latency_tolerance,0.8369808903597736,76.06930782516037,68.17577930276732,28101
Greedy,low_latency,0.7593252851274994,39.63530250478665,17.715715608134293,47961
Greedy,ultra_low_latency,0.8868740555468709,7.534272373415589,6.85690695730584,19191
Lowest Utilization First,high_latency_tolerance,0.8328173374613003,76.30140292596275,68.21456525697249,28101
Lowest Utilization First,low_latency,0.7454598527970643,41.869892194291246,19.144683006229197,47961
Lowest Utilization First,ultra_low_latency,0.48887499348653013,12.66640567101276,9.363141909032423,19191
Random,high_latency_tolerance,0.8280132379630618,76.19685461868168,67.8463729623717,28101
Random,low_latency,0.6641020829423907,49.59705435910462,19.206484721068783,47961
Random,ultra_low_latency,0.4278568078786931,19.678094146947014,9.36009553641158,19191
