Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
All-Cloud,high_latency_tolerance,0.6588374896406238,116.05269664498968,116.44141178234052,53092
All-Cloud,low_latency,0.0,112.88221642359953,,90433
All-Cloud,ultra_low_latency,0.0,106.79931913348754,,36086
All-Local,high_latency_tolerance,0.744801476681986,93.58415147810955,86.01916346557331,53092
All-Local,low_latency,0.3549478619530481,77.35093912438354,12.040649579195819,90433
All-Local,ultra_low_latency,0.7826580945519038,21.904900245276043,6.1220066821991255,36086
GNN,high_latency_tolerance,0.8863670609508024,59.00215073026291,51.71192512645038,53092
GNN,low_latency,0.861422268419714,30.512870027826803,18.12651373888126,90433
GNN,ultra_low_latency,0.4953998780690573,12.591789693144028,8.851733021257065,36086
GNN+LSTM(10),high_latency_tolerance,0.886687259850825,58.54230606896626,51.215556685949046,53092
GNN+LSTM(10),low_latency,0.8594981920316699,30.742488609847832,18.10586844766278,90433
GNN+LSTM(10),ultra_low_latency,0.6692623177963754,10.52477860674829,8.314842611937182,36086
GNN+LSTM(20),high_latency_tolerance,0.8870639644390869,58.695137803322346,51.42615871918637,53092
GNN+LSTM(20),low_latency,0.8631694182433404,30.64637026898685,18.372390933455286,90433
GNN+LSTM(20),ultra_low_latency,0.4992794989746716,12.745737784613578,8.319724683362468,36086
GNN+LSTM(3),high_latency_tolerance,0.8867437655390643,58.78331735187647,51.488525711153606,53092
GNN+LSTM(3),low_latency,0.862561233178154,30.654066905794725,18.35396477778246,90433
GNN+LSTM(3),ultra_low_latency,0.5252729590422879,12.322761125768443,8.143143713478173,36086
GNN+LSTM(30),high_latency_tolerance,0.8866307541625857,58.704996058182594,51.40151811577431,53092
GNN+LSTM(30),low_latency,0.8614554421505424,30.90891169152761,18.524467237734427,90433
GNN+LSTM(30),ultra_low_latency,0.38618854957601284,13.682515450239174,9.58206847874997,36086
GNN+Trans(10),high_latency_tolerance,0.8877043622391321,58.615877142692945,51.36974582125514,53092
GNN+Trans(10),low_latency,0.8605486935079009,30.618038476262374,18.0655087955699,90433
GNN+Trans(10),ultra_low_latency,0.6077149032865932,11.255270517143279,8.485418041372046,36086
GNN+Trans(20),high_latency_tolerance,0.8856701574625179,58.72952836519122,51.354064478122766,53092
GNN+Trans(20),low_latency,0.861521789612199,30.52646169744445,18.051820407070018,90433
GNN+Trans(20),ultra_low_latency,0.4826802638142216,12.687047463368064,8.872624644470905,36086
GNN+Trans(3),high_latency_tolerance,0.8878362088450237,58.1945610864838,50.91077372310959,53092
GNN+Trans(3),low_latency,0.8579390266827375,30.709688716215968,17.833537196377126,90433
GNN+Trans(3),ultra_low_latency,0.6324890539267306,11.02342668220576,8.278366747185702,36086
GNN+Trans(30),high_latency_tolerance,0.8870074587508476,58.81588090748027,51.54596204597731,53092
GNN+Trans(30),low_latency,0.8601284929174084,30.949659573949905,18.455270800664895,90433
GNN+Trans(30),ultra_low_latency,0.2651166657429474,15.511487033785205,9.058345611319732,36086
Lowest Utilization First,high_latency_tolerance,0.8911888796805545,57.14271468011735,49.98086220940934,53092
Lowest Utilization First,low_latency,0.8489047139871507,32.05972018174484,18.67256928259234,90433
Lowest Utilization First,ultra_low_latency,0.4903840824696558,12.679786364466034,9.427818669176107,36086
Random,high_latency_tolerance,0.873916974308747,61.03913625049256,53.15648692429369,53092
Random,low_latency,0.7616135702674909,40.34283358554678,18.679284592998957,90433
Random,ultra_low_latency,0.43194036468436514,18.99364039345279,9.473594005460843,36086
