request_idx,time,position_x,position_y,compute_demand,max_latency,action,reward,latency,success,used_cloud
0,0.09385361799537183,42.79519740568645,50.602771193276624,18.158425631014783,20,DCN_16,1.4183339324529105,2.908330337735448,True,False
1,0.10546665852378635,62.31719688531316,24.634504504903358,20.0,25,ACN_0,1.2503001032169017,3.7484994839154915,True,False
2,0.1355135642692541,69.64544072992094,23.505623002470678,20.0,25,DCN_14,0.7425414549857061,6.2872927250714685,True,False
3,0.5286510204240215,59.51184265127047,29.102741060279865,20.0,25,DCN_14,0.739864003819787,6.300679980901064,True,False
4,0.7169710144454242,17.87707975054901,85.55818574794418,17.547507720514684,35,ACN_0,0.9285055953350994,5.357472023324503,True,False
5,0.8637931936272699,49.53533612333944,54.2970797419181,20.0,30,ACN_0,1.2292749534124123,3.8536252329379383,True,False
6,0.8823242854178931,19.59828624191452,4.522728891053807,8.346651043346577,30,ACN_0,1.1809181363478416,4.095409318260792,True,False
7,1.0590653580195226,14.833147295832006,0.0,20.0,15,ACN_0,1.1312866810902764,4.3435665945486175,True,False
8,1.1033732461206998,52.77414850670202,96.74742734783938,17.68925116484314,20,ACN_0,1.1739818094834278,4.130090952582861,True,False
9,1.5962991920445366,51.54541006956682,92.89908847950883,12.85001618652154,35,ACN_0,1.3836486292742123,3.0817568536289386,True,False
10,2.0327495745248396,56.41022773834576,96.87706579898854,9.892521882670145,30,ACN_0,1.3248855172493932,3.375572413753034,True,False
11,2.2807821343235837,57.16267312889873,96.30995954225656,15.382842529025758,30,ACN_0,1.2580421617500162,3.7097891912499197,True,False
12,2.3381298989202435,53.12020511443279,93.80117432433389,20.0,25,ACN_0,0.533207558517774,7.33396220741113,True,False
13,2.460087735237876,22.82554595070476,36.35330262846368,16.838935603880245,20,ACN_0,1.13644113265059,4.317794336747049,True,False
14,2.5366338785215397,23.152730069932947,61.03206150191697,16.33254124679059,40,ACN_0,1.217656111057475,3.9117194447126242,True,False
15,2.572616175945127,20.97713608499032,100.0,7.279038323785359,40,ACN_0,1.2647916621693966,3.6760416891530165,True,False
