Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.7485251150242362,0.32724959639883633,40.08201410433564,30.05913817027251,21.896162528216703,49.8284690650051,7.946511419637928
GNN+LSTM(3),0.7475652906486941,0.3235690762462201,40.19768659250862,30.056929605590604,22.020641562064156,49.51670978567359,12.43422128898163
GNN+LSTM(10),0.7527775288952603,0.3299252548128795,40.85045326811552,29.883056220146553,23.07204521181915,49.91212523053844,12.660259101771935
GNN+LSTM(20),0.7481885889529202,0.3230029653599151,40.45698141284377,29.985337605762982,22.41377386491704,49.03700709496967,12.940057371999758
GNN+LSTM(30),0.7503472377794704,0.3316663511690159,39.86680715928199,29.888772996227498,21.787796519649294,50.968184617464274,13.579977702551199
GNN+Trans(3),0.7491378826172423,0.329014120915318,39.84617650857857,30.10160722002727,21.589958158995817,50.61904487372887,13.987792258482099
GNN+Trans(10),0.7489248275244154,0.328989133147567,39.946233513682635,30.044917146318554,21.74706301174795,50.88327784583843,11.81616831733986
GNN+Trans(20),0.7471888023905009,0.32234641806803477,40.33756477597749,30.1479467854994,22.212923598790436,49.60469295330024,14.529266426484757
GNN+Trans(30),0.7468748599847663,0.32207537138009307,40.226957945631874,30.10603300590826,22.082647202812762,49.62375812006711,16.619226781743315
Random,0.7452749188791383,0.33170415043504686,39.30648233212419,28.47457602633502,20.935745062637764,66.00454948783252,0.009102555733404375
Greedy,0.898470066271052,0.6387600010506321,29.601937209530735,23.34548765750374,12.986090296510918,71.24190769257036,0.1621890415567653
Lowest Utilization First,0.8101384651490261,0.47749235099041215,31.949567754917886,26.613065257576636,13.215883482643399,74.56484427554088,0.15696039330153264
